artistID,objQID,objLabel,objDesc
8458,Q11363,screamo,subgenre of emo
7436,Q8341,jazz,musical style and genre
7436,Q37073,pop music,genre of popular music
7436,Q203775,swing music,style of jazz
7436,Q1196752,traditional pop,Western popular music that generally predates the advent of rock and roll in the mid-1950s
7436,Q105756581,big band music,"jazz genre, musical style"
1372,Q49451,progressive rock,genre of rock music
1372,Q83270,hard rock,"genre of rock music often characterized by chordal guitar riffs accompanied by root notes on the bass guitar and ""big"" drums"
1372,Q206159,psychedelic rock,genre of rock music
1372,Q1133657,traditional heavy metal,genre of metal music
1372,Q56351111,classic rock,music genre
185,Q11366,alternative rock,subgenre of rock music
185,Q11399,rock music,popular music genre
185,Q217191,soft rock,music genre derived from popular and rock music
185,Q484641,pop rock,music genre
349,Q37073,pop music,genre of popular music
6313,Q37073,pop music,genre of popular music
349,Q211756,dance-pop,dance-oriented pop music
6313,Q211756,dance-pop,dance-oriented pop music
349,Q850412,contemporary R&B,"popular music genre that combines rhythm and blues with elements of pop, soul, funk, hip-hop, and electronic music"
6313,Q850412,contemporary R&B,"popular music genre that combines rhythm and blues with elements of pop, soul, funk, hip-hop, and electronic music"
863,Q11366,alternative rock,subgenre of rock music
8017,Q11366,alternative rock,subgenre of rock music
863,Q11399,rock music,popular music genre
8017,Q11399,rock music,popular music genre
863,Q27190,proto-punk,subgenre of rock music
8017,Q27190,proto-punk,subgenre of rock music
863,Q181861,noise rock,experimental rock music mixed with noise
8017,Q181861,noise rock,experimental rock music mixed with noise
863,Q186472,folk rock,fusion genre of folk and rock music
8017,Q186472,folk rock,fusion genre of folk and rock music
863,Q193355,blues rock,music genre combining elements of blues and rock
8017,Q193355,blues rock,music genre combining elements of blues and rock
863,Q206159,psychedelic rock,genre of rock music
8017,Q206159,psychedelic rock,genre of rock music
863,Q217467,art rock,subgenre of rock music
8017,Q217467,art rock,subgenre of rock music
863,Q650316,drone music,minimalist music genre
8017,Q650316,drone music,minimalist music genre
863,Q726239,noise music,music genre
8017,Q726239,noise music,music genre
863,Q1641839,experimental rock,type of music based on rock
8017,Q1641839,experimental rock,type of music based on rock
863,Q2332751,avant-garde music,music genre
8017,Q2332751,avant-garde music,music genre
863,Q25094849,art pop,loosely-defined style of pop music
8017,Q25094849,art pop,loosely-defined style of pop music
863,Q28444186,avant-punk,music style
8017,Q28444186,avant-punk,music style
2459,Q8341,jazz,musical style and genre
2459,Q9759,blues,music genre
2459,Q203775,swing music,style of jazz
2459,Q207378,big band,type of music ensemble associated with jazz and Swing Era music
2656,Q3071,punk rock,genre of rock music
2656,Q484641,pop rock,music genre
2656,Q1123745,glam punk,subgenre of punk rock
9513,Q11399,rock music,popular music genre
3023,Q83440,country music,genre of American popular music
2415,Q11366,alternative rock,subgenre of rock music
2415,Q183504,indie rock,"genre of rock music, subgenre of alternative rock"
4394,Q3071,punk rock,genre of rock music
4394,Q7749,rock and roll,"genre of popular music, early subgenre of rock music"
4394,Q11366,alternative rock,subgenre of rock music
4394,Q11399,rock music,popular music genre
4394,Q183504,indie rock,"genre of rock music, subgenre of alternative rock"
4394,Q211573,garage rock,subgenre of rock and roll music
4394,Q487914,pop-punk,rock music fusion genre that combines elements of punk rock with power pop or pop
4394,Q2296495,garage punk,music genre
14439,Q11366,alternative rock,subgenre of rock music
14439,Q164444,funk,"music genre that emerged in the 1960s, blending soul, jazz, and R&B, known for its syncopated basslines, groovy rhythms, and danceable energy"
